ISSN,e-ISSN,p-ISSN,SourceID,Acronym,JournalTitle,ASJCScopus,ASJCMarketing
2210-4224,2210-4232,2210-4224,19700201681,EIST,Environmental Innovation and Societal Transitions,2105;2301;3301,
1687-4285,2090-3278,1687-4285,21100324710,EJAR,The Egyptian Journal of Aquatic Research,1910;1105;1104;2312,
2314-808X,,,21101053507,EJBAS,Egyptian Journal of Basic and Applied Sciences,1315;2204;1301,
0717-3458,0717-3458,,15602,EJBT,Electronic Journal of Biotechnology,1305;2402,
0959-8049,1879-0852,0959-8049,29761,EJC,European Journal of Cancer,2730;1306,
0171-9335,1618-1298,0171-9335,18531,EJCB,European Journal of Cell Biology,2734;2722;1307,
2090-7303,,,21100854908,EJCCM,The Egyptian Journal of Critical Care Medicine,2706,
0422-7638,,,,EJCDT,Egyptian Journal of Chest Diseases and Tuberculosis,,
1576-7957,,,,EJCES,European Journal of Cancer - Edicion en espanol,,
1474-5151,,,27682,EJCN,European Journal of Cardiovascular Nursing,2705;2914;2902,
2192-4406,2192-4414,,21100827466,EJCO,EURO Journal on Computational Optimization,2611;1803;2606;2605,
0947-3580,1435-5671,0947-3580,25406,EJCON,European Journal of Control,2200,
2772-610X,2772-610X,,,EJCPED,EJC Paediatric Oncology,,1306;2730;2735
2772-6118,2772-6118,,,EJCSKN,EJC Skin Cancer,,2708;2722;2730;2741;3614
1359-6349,1878-1217,1359-6349,101597,EJCSUP,EJC Supplements,2730;1306,
1010-7940,,,23185,EJCTS,European Journal of Cardio-Thoracic Surgery,2746;2740;2705,
1567-4258,,,,EJCTSU,European Journal of Cardio-Thoracic Surgery (Supplements),,
2193-9438,2193-9446,,21100901158,EJDP,EURO Journal on Decision Processes,1800;2613;1401;2605;2604,1800
1877-069X,,,,EJEB,"Journal of Evidence-Based Dental Practice, Brazil Edition",,
2090-0740,,,21100409309,EJENTA,"Egyptian Journal of Ear, Nose, Throat and Allied Sciences",2746;2733,
1877-0681,,,,EJEP,"Journal of Evidence-Based Dental Practice, Portugal Edition",,
1888-8992,,,21101058102,EJEPS,European Journal of Education and Psychology,3304;3200,
2444-877X,,,21101064804,EJFB,European Journal of Family Business,1403;1401;1407,
2090-536X,,,21100384222,EJFS,Egyptian Journal of Forensic Sciences,2734;3306;3308,
0953-6205,1879-0828,0953-6205,26617,EJINME,European Journal of Internal Medicine,2724,
2772-4174,2772-4174,,21101136668,EJMCR,European Journal of Medicinal Chemistry Reports,1601;1313,"1605;1306
"
0223-5234,1768-3254,0223-5234,17464,EJMECH,European Journal of Medicinal Chemistry,3004;3002;1605,
2666-108X,,,,EJMECX,European Journal of Medicinal Chemistry: X,,
0997-7546,1873-7390,0997-7546,13878,EJMFLU,European Journal of Mechanics / B Fluids,2610;3100,
1769-7212,1878-0849,1769-7212,130005,EJMG,European Journal of Medical Genetics,1311;2716,
1110-8630,,,19700175117,EJMHG,Egyptian Journal of Medical Human Genetics,2716,
1120-1797,1724-191X,1120-1797,17037,EJMP,Physica Medica,1304;2741;3100,
0997-7538,1873-7285,0997-7538,13877,EJMSOL,European Journal of Mechanics / A Solids,2500;2211;2210;3100,
0932-4739,1618-0429,0932-4739,13882,EJOP,European Journal of Protistology,2404,
0014-2999,1879-0712,0014-2999,21333,EJP,European Journal of Pharmacology,3004,
1889-1861,,,21100201725,EJPAL,The European Journal of Psychology Applied to Legal Context,3202;3308,
0939-6411,1873-3441,0939-6411,21332,EJPB,European Journal of Pharmaceutics and Biopharmaceutics,1305;3003,
1110-0621,2090-2468,1110-0621,21100819607,EJPE,Egyptian Journal of Petroleum,1503;2105;2103;1906;1508;1605,
0213-6163,2340-4469,0213-6163,15553,EJPSY,The European Journal of Psychiatry,2738,
1110-1164,2090-2433,1110-1164,19700201647,EJR,The Egyptian Rheumatologist,2745,
1756-1175,,,17500155015,EJRADI,European Journal of Radiography,2741,
1571-4675,,,16678,EJREX,European Journal of Radiology Extra,2741,
2214-5818,2214-5818,,21100349321,EJRH,Journal of Hydrology: Regional Studies,2312;1901,
0378-603X,,,19700182748,EJRNM,The Egyptian Journal of Radiology and Nuclear Medicine,2741,
2352-0477,2352-0477,,21100369845,EJRO,European Journal of Radiology Open,2741,
1110-9823,2090-2476,1110-9823,19700183014,EJRS,The Egyptian Journal of Remote Sensing and Space Sciences,1900,
1164-5563,1778-3615,1164-5563,14648,EJSOBI,European Journal of Soil Biology,2404;1111;1109,
2468-7499,2468-7499,,21101024227,EJTD,European Journal of Trauma & Dissociation,3203;2738,
2192-4376,2192-4384,,21100862198,EJTL,EURO Journal on Transportation and Logistics,2611;3313;1803,
0929-8266,,,16679,EJUS,European Journal of Ultrasound,1502;1500;2741;3102,
2666-688X,2666-688X,,21100981275,EJVSVF,EJVES Vascular Forum,2746;2705,
2212-4438,2212-4438,,21100206609,EJWF,Journal of the World Federation of Orthodontists,3505,
2468-0249,2468-0249,,21100786208,EKIR,Kidney International Reports,2727,
1388-2481,1873-1902,1388-2481,25180,ELECOM,Electrochemistry Communications,1603,
1040-6190,1873-6874,1040-6190,28802,ELECTR,The Electricity Journal,1403;2101;1405,
1567-4223,1873-7846,1567-4223,15057,ELERAP,Electronic Commerce Research and Applications,1706;1705;1406;1405,
0368-2048,1873-2526,0368-2048,12157,ELSPEC,Journal of Electron Spectroscopy and Related Phenomena,2504;3108;3107;3104;1607;1606,
0304-3886,1873-5738,0304-3886,18041,ELSTAT,Journal of Electrostatics,2504;1305;3104;2508;2208,
1762-6137,,,3300147812,EMCAA,EMC-Cardiologie-Angeiologie,2705,
1638-6205,,,3300147811,EMCAR,EMC - Anesthesie-Reanimation,2706;2703,
1762-570X,,,3300147802,EMCCHI,EMC - Chirurgie,2746,
1762-5696,,,3300147815,EMCDC,EMC - Dermatologie-Cosmetologie,2708,
1762-5653,,,3300147816,EMCEND,EMC - Endocrinologie,2724;2712;2916,
1762-6145,,,3300147810,EMCGO,EMC-Gynecologie-Obstetrique,2729,
1638-6213,,,3300147907,EMCH,EMC - Hematologie,2720,
1769-6763,,,3300147813,EMCHG,EMC-Hepato-Gastroenterologie,2721;2715,
1762-567X,,,,EMCK,EMC - Podologie-Kinesitherapie,,
1769-6852,,,,EMCKNS,EMC-Kinesitherapie,,
1762-4193,,,3300147801,EMCMED,EMC - Medecine,2700,
1638-623X,,,3300147906,EMCMI,EMC - Maladies infectieuses,2725,
1762-4231,,,3300147817,EMCN,EMC - Neurologie,2808;2728,
1638-6248,,,3300147814,EMCNEP,EMC - Nephrologie,2702;2727;2737,
1769-6836,,,,EMCODO,EMC - Odontologie,,
2405-6650,2405-6642,2405-6650,21100819608,EMCON,Emerging Contaminants,3005;2739;2307,
1762-584X,,,,EMCOP,EMC - Ophtalmologie,,
1762-5688,,,3300147818,EMCORL,EMC - Oto-rhino-laryngologie,2733;2912,
1762-6013,,,4000149503,EMCPED,EMC-Pediatrie,2735,
1762-4223,,,3300147819,EMCPN,EMC - Pneumologie,2740,
1769-6860,,,,EMCPOL,EMC-Podologie,,
1762-5718,,,3300147903,EMCPS,EMC - Psychiatrie,2738,
1762-4185,,,62001,EMCRAD,EMC - Radiologie,2741,
1762-4207,,,19215,EMCRHO,EMC - Rhumatologie-Orthopedie,2745;2732,
1769-6844,,,130098,EMCSTO,EMC-Stomatologie,3500,
1636-5410,2214-9406,1636-5410,,EMCTM,Tratado de Medicina,,
1762-5858,,,3300147901,EMCTP,EMC - Toxicologie-Pathologie,3005;2739,
1762-4215,,,3300147820,EMCVET,EMC - Veterinaire,3400,
2211-2677,,,,EMEDCR,Elsevier Medical Case Reports,,
1566-0141,1873-6173,1566-0141,14453,EMEMAR,Emerging Markets Review,1403;2002,
0263-2373,1873-5681,0263-2373,22491,EMJ,European Management Journal,1408,
2352-4316,2352-4316,,21100376821,EML,Extreme Mechanics Letters,1502;1501;2201;2211;2210,
1755-4586,1878-0040,1755-4586,17500155125,EMOSPA,"Emotion, Space and Society",3207;3205,
0927-5398,1879-1727,0927-5398,17499,EMPFIN,Journal of Empirical Finance,2003;2002,
0141-0229,1879-0909,0141-0229,15609,EMT,Enzyme and Microbial Technology,1305;1502;1303;2402,
2405-5352,,,,ENAVI,International Journal of e-Navigation and Maritime Economy,,
0378-7788,1872-6178,0378-7788,29359,ENB,Energy & Buildings,2205;2215;2210;2208,
2666-1233,2666-1233,,21101055725,ENBENV,Energy and Built Environment,2205;2215;2105;3313,
2590-1826,2590-1826,,,ENCECO,Environmental Chemistry and Ecotoxicology,,
0013-7006,2589-4935,0013-7006,15488,ENCEP,L'Encéphale,1201;2738,
2589-7780,2589-7780,,21101047377,ENCHEM,EnergyChem,2502;1600;2100,"1604;1606
"
0160-9327,1873-1929,0160-9327,21235,ENDE,Endeavour,1207,
2530-0180,2530-0180,,21100806011,ENDIEN,"Endocrinología, Diabetes y Nutrición (English ed.)",2712;1310;2916,"2712
"
2530-0164,2530-0172,2530-0164,21100806011,ENDINU,"Endocrinología, Diabetes y Nutrición",2712;1310;2916,
1571-0653,,,4700152427,ENDM,Electronic Notes in Discrete Mathematics,2607;2604,
2666-3961,2666-3961,,21101079112,ENDMTS,Endocrine and Metabolic Science,2712;1310,
0188-9893,,,,ENDOMX,Endoscopia,,
0140-9883,1873-6181,0140-9883,29374,ENEECO,Energy Economics,2002;2100,
2445-1479,2445-1479,,21101057370,ENFCLE,Enfermería Clínica (English Edition),2700,"2900
"
1130-8621,1579-2013,1130-8621,7200153125,ENFCLI,Enfermeria Clinica,2922;2900;2908,
1130-2399,1578-1291,1130-2399,27681,ENFI,Enfermería intensiva,2908;2906;2902,
2529-9840,2529-9840,,,ENFIE,Enfermería Intensiva (English ed.),,"2900
"
2095-8099,2096-0026,2095-8099,21100780794,ENG,Engineering,1700;2305;1500;2501;2102;2200,
0013-7952,1872-6917,0013-7952,15648,ENGEO,Engineering Geology,1909;1907,
2666-7592,2666-7592,,21101090689,ENGEOS,Energy Geoscience,2105;1908;2101;1907,
2667-3703,2667-3703,,21101141438,ENGMIC,Engineering Microbiology,2404;1502;2402;1301,"2402;1305;2404
"
2666-1381,2666-1381,,21101092560,ENGREG,Engineered Regeneration,2701;2502;2204,
0923-4748,1879-1719,0923-4748,20575,ENGTEC,Journal of Engineering and Technology Management,1410;2200;1408;1803;1802,
2950-2454,2950-2454,,,ENMAT,Energy Materials Trends,,
2666-6472,2666-6472,,21101080423,ENMF,Energetic Materials Frontiers,1501;2501;2209;2505,
2215-1532,2215-1532,,21100367128,ENMM,"Environmental Nanotechnology, Monitoring & Management",2501;2312;2311;2310;2308,
0269-7491,1873-6424,0269-7491,23916,ENPO,Environmental Pollution,3005;2310;2307,
2772-9702,2772-9702,,,ENREV,Energy Reviews,,"2102;2105
"
1090-5138,1879-0607,1090-5138,21503,ENS,Evolution and Human Behavior,1105;3205;1201,
2405-6502,2405-6502,,21100416114,ENSCI,eNeurologicalSci,2808,
2405-8297,2405-8289,2405-8297,21100420314,ENSM,Energy Storage Materials,2105;2500;2102,
1364-8152,1873-6726,1364-8152,23295,ENSO,Environmental Modelling and Software,1712;2305;2302,
2772-6835,2772-6835,,,ENSS,Energy Storage and Saving,,
1875-9521,1875-953X,1875-9521,19400158708,ENTCOM,Entertainment Computing,1712;1709,
1571-0661,,,20569,ENTCS,Electronic Notes in Theoretical Computer Science,2614;1700,
2666-7657,2666-7657,,21101065035,ENVADV,Environmental Advances,2306;2304;2301,"2300;2301;2304;2310
"
2667-0100,2667-0100,,21101055470,ENVC,Environmental Challenges,2306;2305;2311;2310;2308,"2308;3305
"
2211-4645,2211-4653,2211-4645,21100202110,ENVDEV,Environmental Development,3305;2308,
1747-7891,,,11600154613,ENVHAZ,Environmental Hazards,2306;3305;3303;3312;2300,
1462-9011,1873-6416,1462-9011,21536,ENVSCI,Environmental Science and Policy,3305;2308,
1382-6689,1872-7077,1382-6689,25095,ENVTOX,Environmental Toxicology and Pharmacology,3005;3004;2307,
0377-2217,1872-6860,0377-2217,22489,EOR,European Journal of Operational Research,1700;2611;1803;1802;2209,
2468-1199,,,,EOX,Earth-Observations-X,,
1110-6638,,,,EPAG,Egyptian Pediatric Association Gazette,,
2352-5894,,,,EPDC,Pediatric Dentistry Case Reports,,
1755-4365,1878-0067,1755-4365,17300154924,EPIDEM,Epidemics,2713;2405;2404;2739;2725;2406,
2212-8220,,,,EPILEP,Epileptology,,
0920-1211,1872-6844,0920-1211,15514,EPIRES,Epilepsy Research,2808;2728,
0014-3057,1873-1945,0014-3057,25854,EPJ,European Polymer Journal,3100;2507;1605;2505,
2950-3051,2950-3051,,,EPM,Environmental Pollution and Management,,
0149-7189,1873-7870,0149-7189,26602,EPP,Evaluation and Program Planning,1403;3207;3305;1408;2739,
1530-891X,1934-2403,1530-891X,26032,EPRAC,Endocrine Practice,2712;1310,
2213-5766,2213-5766,,21100255429,EPSC,Journal of Pediatric Surgery Case Reports,2735;2746,
0012-821X,1385-013X,0012-821X,22566,EPSL,Earth and Planetary Science Letters,1908;1906;1912;1901,
0378-7796,1873-2046,0378-7796,16044,EPSR,Electric Power Systems Research,2102;2208,
2666-1144,,,,EPSRX,Electric Power Systems Research: X,,
0187-893X,,,19700188119,EQ,Educación Química,1600;3304,
2949-9054,2949-9054,,,EQRE,Journal of Equine Rehabilitation,,
2772-4670,2772-4670,,,EQREA,Earthquake Research Advances,,
1674-4519,1867-8777,,17300154921,EQS,Earthquake Science,1909;1908;1907,
1162-9088,1878-3457,1162-9088,14121,ERAP,European Review of Applied Psychology,3202,
0169-8141,1872-8219,0169-8141,12385,ERGON,International Journal of Industrial Ergonomics,3307;2739,
2214-6296,2214-6326,2214-6296,21100325067,ERSS,Energy Research & Social Science,2105;2104;2103;2102;3301,
2667-1417,2667-1417,,21101141505,ESCI,eScience,2105;1603;2505,
1543-2912,,,4100151616,ESCT,Supportive Cancer Therapy,2730;3004;1306,
0973-0826,2352-4669,0973-0826,17600155126,ESD,Energy for Sustainable Development,3305;2105;2308,
2666-4984,2666-4984,,21101042161,ESE,Environmental Science and Ecotechnology,2305;2303;2301,"2300;2304;2310
"
1872-5791,,,19400158821,ESF,Earth Science Frontiers,1900,
2589-8116,2589-8116,,21101063742,ESG,Earth System Governance,2306;3305;3301;3320;2308,"2308;3305
"
2949-8643,2949-8643,,,ESI,Environmental Surfaces and Interfaces,,
2949-8198,2949-8198,,,ESMOGO,ESMO Gastrointestinal Oncology,,
2059-7029,2059-7029,,21100873339,ESMOOP,ESMO Open,2730;1306,
2949-8201,2949-8201,,,ESMORW,ESMO Real World Data and Digital Oncology,,
0889-4906,1873-1937,0889-4906,20598,ESP,English for Specific Purposes,1203;3304;3310,
0120-4483,,,19700169972,ESPE,Ensayos sobre Política Económica,2002;3320,
0185-1616,,,,ESPOL,Estudios Políticos,,
2211-467X,2211-4688,2211-467X,21100199818,ESR,Energy Strategy Reviews,2101,
2352-152X,2352-1538,2352-152X,21100400826,EST,Journal of Energy Storage,2105;2102;2208,
0123-5923,,,21100970236,ESTGER,Estudios Gerenciales,1403;2003;2002;1408;1406;1405,
0957-4174,1873-6793,0957-4174,24201,ESWA,Expert Systems With Applications,2200;1706;1702,
2050-1161,2050-1161,,21100434606,ESXM,Sexual Medicine,2712;2743;1310;2738;2748;2802,
2667-1182,2667-1182,,,ETDAH,"Emerging Trends in Drugs, Addictions, and Health",,"3004
"
0894-1777,1879-2286,0894-1777,29220,ETF,Experimental Thermal and Fluid Science,1500;2104;2202;2210;1507,
2352-1864,2352-1864,,21100385961,ETI,Environmental Technology & Innovation,2300;1111;1110,
1765-4629,1769-695X,1765-4629,145357,ETIQE,Ethique et Santé,2910;3306;2719,
0940-2993,,,13248,ETP,Experimental and Toxicologic Pathology,2734;3005;1307,
2590-1168,2590-1168,,21101021443,ETRAN,eTransportation,2203;3313;2102;2208,
2950-2985,2950-2985,,,ETS,European Transport Studies,,
2214-4420,2214-4420,,21100283795,EUCR,Urology Case Reports,2748,
2405-4569,2405-4569,,21100406908,EUF,European Urology Focus,2748,
1876-3820,1876-3839,1876-3820,17300154952,EUJIM,European Journal of Integrative Medicine,2707,
1665-952X,,,,EUNAM,Economía UNAM,,
2588-9311,2588-9311,,21100904922,EUO,European Urology Oncology,2700,
2212-9685,2212-9685,,21100258759,EUPROT,EuPA Open Proteomics,1303,
1161-0301,1873-7331,1161-0301,59988,EURAGR,European Journal of Agronomy,1102;1111;1110,
1879-3665,,,19700168801,EURAS,Journal of Eurasian Studies,3316;1202;3312,
1878-7649,,,19700175204,EURGER,European Geriatric Medicine,2909;2717,
0301-2115,1872-7654,0301-2115,12681,EURO,European Journal of Obstetrics & Gynecology and Reproductive Biology,2743;2729,
2666-1683,2666-1683,2666-1691,21100983136,EUROS,European Urology Open Science,2748,
2590-1613,2590-1613,,21100898536,EUROX,European Journal of Obstetrics & Gynecology and Reproductive Biology: X,2743;2729,
0924-9338,,,15578,EURPSY,European Psychiatry,2738,
0720-048X,1872-7727,0720-048X,16677,EURR,European Journal of Radiology,2741,
2212-764X,,,21100207004,EURTEL,European Research in Telemedicine/La Recherche Européenne en Télémédecine,2718;3605,
0302-2838,1873-7560,0302-2838,19897,EURURO,European Urology,2748,
2950-1172,2950-1172,,,EVE,Evolving Earth,,1900;2306
0014-3855,1769-6674,0014-3855,15584,EVOPSY,L'Évolution psychiatrique,1200;2738,
2666-657X,2666-657X,,21101162729,EXCO,Examples and Counterexamples,2601;2605;2604,"2604
"
1164-0235,,,,EXERGY,Exergy,,
0531-5565,1873-6815,0531-5565,29003,EXG,Experimental Gerontology,1303;1302;1312;1311;1310;1307,
2214-790X,2214-7918,2214-790X,21100305261,EXIS,The Extractive Industries and Society,3305;3303;1905;2308,
0723-0869,1878-0792,0723-0869,26451,EXMATH,Expositiones Mathematicae,2600,
1872-2881,,,,EXPEAR,Experimental Earth,,
0301-472X,1873-2399,0301-472X,25949,EXPHEM,Experimental Hematology,1312;2720;1311;1307;1306,
2667-0623,2667-0623,2667-0631,,FANDER,Annales de Dermatologie et de Vénéréologie - FMC,,"2700
"
1130-6343,2171-8695,1130-6343,21811,FARMA,Farmacia Hospitalaria,3004,
0014-827X,,,4800154010,FARMAC,Il Farmaco,3003;3002,
2173-5085,,,,FARMAE,Farmacia Hospitalaria (English Edition),,
0213-9324,,,,FARPRO,Farmacia Profesional,,
2949-9119,2949-9119,,,FARSYS,Farming System,,
1268-7731,1460-9584,1268-7731,21143,FAS,Foot and Ankle Surgery,2732,
2667-3967,2667-3967,,,FASTRC,"Foot & Ankle Surgery: Techniques, Reports & Cases",,"2742;3612
"
2405-6766,2405-6766,,21100445643,FAWPAR,Food and Waterborne Parasitology,2405;2713,
2212-4292,2212-4306,2212-4292,21100255550,FBIO,Food Bioscience,1106;1303,
2314-7210,,,,FBJ,Future Business Journal,,
0960-3085,1744-3571,0960-3085,15627,FBP,Food and Bioproducts Processing,1305;1106;1303;1500,
1749-4613,1878-0253,1749-4613,6300153114,FBR,Fungal Biology Reviews,2404,
2314-7288,,,,FCIJ,Future Computing and Informatics Journal,,
0278-6915,1873-6351,0278-6915,25096,FCT,Food and Chemical Toxicology,1106;3005,
2314-7180,,,,FDJ,Future Dental Journal,,"3500
"
0014-5793,,,17481,FEBS,FEBS Letters,1304;1315;1303;1312;1311;1307,
2197-5620,2197-5620,,21100869487,FECS,Forest Ecosystems,1107;1105;2303;2309,
1776-9817,2214-8485,1776-9817,145736,FEMME,Imagerie de la Femme,2746,
0168-6496,,,19705,FEMSEC,FEMS Microbiology Ecology,2404;2303;2402,
0928-8244,,,19703,FEMSIM,FEMS Immunology and Medical Microbiology,2723;2404;2403;2726;2725,
0378-1097,,,19706,FEMSLE,FEMS Microbiology Letters,2404;1312;1311,
0168-6445,,,19708,FEMSRE,FEMS Microbiology Reviews,2404;2725,
1567-1356,,,19710,FEMSYR,FEMS Yeast Research,2404;2402,
2667-0259,2667-0259,,21101092738,FHFH,Food Hydrocolloids for Health,1106;3003;2916;2715,"1106;2916
"
0016-0032,1879-2693,0016-0032,27959,FI,Journal of the Franklin Institute,2207;1711;1705;2604,
1616-8658,,,21100826286,FIAE,Fuzzy Information and Engineering,2614;2207;1710;2609;1803;2209;1702;2604,
0378-4290,1872-6852,0378-4290,78796,FIELD,Field Crops Research,1102;1111,
1057-5219,1873-8079,1057-5219,17385,FINANA,International Review of Financial Analysis,2003;2002,
2212-5671,,,,FINE,Procedia Economics and Finance,,
0304-405X,1879-2774,0304-405X,24379,FINEC,Journal of Financial Economics,1402;2003;2002;1408,
0168-874X,1872-6925,0168-874X,18189,FINEL,Finite Elements in Analysis & Design,2603;2200;1704;2604,
1386-4181,1878-576X,1386-4181,17528,FINMAR,Journal of Financial Markets,2003;2002,
2666-3597,2666-3597,,21101081624,FINMEC,Forces in Mechanics,2211;2210,"2210
"
1057-0810,,,,FINSER,Financial Services Review,,
0165-7836,1872-6763,0165-7836,12781,FISH,Fisheries Research,1104,
0379-7112,1873-7226,0379-7112,28425,FISJ,Fire Safety Journal,1600;2500;2213;3100,
0367-326X,1873-6971,0367-326X,18077,FITOTE,Fitoterapia,3004;3002,
2210-7940,,,19700201677,FJMD,Formosan Journal of Musculoskeletal Disorders,2732,
2314-7245,,,,FJPS,Future Journal of Pharmaceutical sciences,,
2590-2415,,,,FJPSY,French Journal of Psychiatry,,"2738
"
1682-606X,,,82801,FJS,Formosan Journal of Surgery,2746,
2452-2627,2452-2627,,21100798653,FLATC,FlatChem,2504;2503;2508;2505,
1468-1641,,,4700153106,FLDMYC,Field Mycology,2303;1110,
2542-3649,,,,FLM,Frontiers in Laboratory Medicine,,
0367-2530,1618-0585,0367-2530,18094,FLORA,Flora,1105;2303;1110,
0169-5983,,,18465,FLUDYN,Fluid Dynamics Research,2210;3100;1507,
0378-3812,1879-0224,0378-3812,26899,FLUID,Fluid Phase Equilibria,1500;3100;1606,
0022-1139,1873-3328,0022-1139,25283,FLUOR,Journal of Fluorine Chemistry,1303;2304;1606;1605;1604,
1134-2072,2773-0700,1134-2072,7200153165,FMC,FMC. Formación médica continuada en atención primaria,2905;2715,
2667-3258,2667-3258,,21101065105,FMRE,Fundamental Research,1000,
2949-8406,2949-8406,,,FNHLI,First Nations Health and Wellbeing - The Lowitja Journal,,
0015-0282,1556-5653,0015-0282,12705,FNS,Fertility and Sterility,2743;2729,
2095-2635,2095-2643,2095-2635,21100413834,FOAR,Frontiers of Architectural Research,2216;2215;3302;3322,
2211-5463,,,21100197927,FOB,FEBS Open Bio,1300,
0308-8146,1873-7072,0308-8146,24039,FOCH,Food Chemistry,1602;1106,
2772-753X,2772-753X,,21101136300,FOCHA,Food Chemistry Advances,1106;1605,"1106
"
2666-5662,2666-5662,,21101066155,FOCHMS,Food Chemistry: Molecular Sciences,1106;1312,"1106;2402;2404;2916
"
2590-1575,2590-1575,,21100896855,FOCHX,Food Chemistry: X,1602;1106,
2773-0654,2773-0654,,,FOCUS,AJPM Focus,,
1096-7508,,,91636,FOOAGR,International Food and Agribusiness Management Review,1106;1403,
0168-1605,1879-3460,0168-1605,19760,FOOD,International Journal of Food Microbiology,1106;2404,
2950-0699,2950-0699,,,FOODP,Food Physics,,
2949-8244,2949-8244,,,FOOHUM,Food and Humanity,,1106
0268-005X,1873-7137,0268-005X,22597,FOOHYD,Food Hydrocolloids,1106;1600;1500,
2213-3291,2213-3291,,21100285057,FOOSTR,Food Structure,1106;1502;2402,
2352-2496,2352-2496,,21100365104,FOOWEB,Food Webs,1105;2303,
2468-1709,2468-1709,,21100788802,FORC,Forensic Chemistry,1602;2734;1607;1606;2505;3308,
0378-1127,1872-7042,0378-1127,25720,FORECO,Forest Ecology and Management,1107;2309;2308,
1389-9341,1872-7050,1389-9341,22223,FORPOL,Forest Policy and Economics,1107;3312;2002;2308,
2667-1344,2667-1344,,21101163300,FPC,FirePhysChem,2501;1508;1504,
2772-8285,2772-8285,,,FPP,Fundamental Plasma Physics,,3100;3104
2214-2894,2214-2894,,21100285075,FPSL,Food Packaging and Shelf Life,1106;2502;2213;2507;2726,
1761-676X,2405-514X,1761-676X,79913,FPUROL,Progrès en Urologie - FMC,2748,
0950-3293,1873-6343,0950-3293,23161,FQAP,Food Quality and Preference,1106;2916,
2231-2536,,,,FRA,Free Radicals and Antioxidants,,
0181-9801,,,16691,FRAD,Feuillets de Radiologie,2741,
2773-1863,2773-1863,2773-1871,,FRAOPE,Franklin Open,,1705;1711;2102;2207;2604
0891-5849,1873-4596,0891-5849,15095,FRB,Free Radical Biology and Medicine,1303;2737,
2666-2256,2666-2256,2666-2264,21100976731,FRI,Forensic Imaging,2734;2741,
0963-9969,1873-7145,0963-9969,23180,FRIN,Food Research International,1106,
1544-6123,1544-6131,1544-6123,15519,FRL,Finance Research Letters,2003,
2213-4530,2213-4530,,21100906935,FSHW,Food Science and Human Wellness,1106,
0379-0738,1872-6283,0379-0738,27743,FSI,Forensic Science International,2734;3308,
2666-9374,2666-9374,,,FSIAE,Forensic Science International: Animals and Environments,,"2734;1103
"
2666-2817,2666-2817,2666-2825,21101032719,FSIDI,Forensic Science International: Digital Investigation,2734;1710;1706;3607;3308,"1705;3308;1700;1712;1802
"
1872-4973,1878-0326,1872-4973,5700191205,FSIGEN,Forensic Science International: Genetics,2734;1311,
1875-1768,1875-175X,1875-1768,12100155401,FSIGSS,Forensic Science International: Genetics Supplement Series,2734;1311,
2666-3538,2666-3538,,21101045709,FSIML,Forensic Science International: Mind and Law,3201;2738;3308,
2665-9107,2665-9107,,21101021758,FSIR,Forensic Science International: Reports,2734,
2667-0119,2950-3116,,21101144600,FSIREP,Fish and Shellfish Immunology Reports,2403;1104,"2403;2723
"
1875-1741,,,19400157112,FSISUP,Forensic Science International Supplement Series,2734,
2589-871X,2589-871X,,21100904891,FSISYN,Forensic Science International: Synergy,2734;3308,
0165-0114,1872-6801,0165-0114,26529,FSS,Fuzzy Sets and Systems,2609;1702,
0211-5638,1578-2107,0211-5638,7200153131,FT,Fisioterapia,3612,
2444-9164,,,,FTERRA,Fisterra,,
2950-2640,2950-2640,,,FUB,Future Batteries,,2100;2102;2105;2208
2666-8335,2666-8335,,21101060444,FUFO,Future Foods,1106,"1106
"
1878-6146,1878-6162,1878-6146,19700166901,FUNBIO,Fungal Biology,1105;1311;2725,
1754-5048,1878-0083,1754-5048,95143,FUNECO,Fungal Ecology,1105;2303;2302;1110,
2773-2150,2773-2150,,,FUNINT,Fungal Interactions,,
0378-3820,1873-7188,0378-3820,16315,FUPROC,Fuel Processing Technology,1500;2103;2102,
0920-3796,1873-7196,0920-3796,20344,FUSION,Fusion Engineering and Design,2205;2104;2500;2210,
1619-9987,1619-9995,1619-9987,144940,FUSPRU,Fuss und Sprunggelenk,2732,
0167-739X,1872-7115,0167-739X,12264,FUTURE,Future Generation Computer Systems,1712;1708;1705,
0213-9111,1578-1283,0213-9111,60803,GACETA,Gaceta Sanitaria,2739,
0966-6362,1879-2219,0966-6362,28025,GAIPOS,Gait & Posture,1304;2732;2742,
1665-9201,,,21100278305,GAMO,Gaceta Mexicana de Oncología,2730;1306,
2949-7523,2949-7523,,,GANDE,Gastroenterology & Endoscopy,,
0910-5050,,,38873,GANN,Japanese Journal of Cancer Research,2730;1306,
2590-2598,2590-2598,,21101092906,GAOST,Grain & Oil Science and Technology,1106;1502;2402;1109,
1091-255X,1873-4626,,21679,GASSUR,Journal of Gastrointestinal Surgery,2746;2715,
2772-5723,2772-5723,,,GASTHA,Gastro Hep Advances,,"2711;2715
"
2444-3824,2444-3824,,,GASTRE,Gastroenterología y Hepatología (English Edition),,"2715
"
0210-5705,1578-9519,0210-5705,28327,GASTRO,Gastroenterologia y Hepatologia,2721;2715,
0016-7037,1872-9533,0016-7037,25870,GCA,Geochimica et Cosmochimica Acta,1906,
